iteration	traits	posterior_prob	regional_prob	candidate_snp	posterior_explained_by_snp	dropped_trait
1	bipolar, Klarin_HDL, Klarin_TC, T2D	0.7566	0.7887	10:101912064	0.9957	NA
1	bipolar, Klarin_HDL, Klarin_TC, T2D	0.7561	0.7887	10:101912064	0.9957	NA
4	baso, baso_p, baso_p_gran	0.9995	0.9999	10:102104521	1	NA
1	bipolar, Klarin_HDL, Klarin_TC, T2D	0.7563	0.7887	10:101912064	0.9957	NA
4	baso, baso_p, baso_p_gran	0.9995	0.9999	10:102104521	1	NA
5	mch, mcv	0.7767	0.7852	10:103066248	0.4756	NA
3	eo_p, eo_p_gran, mch, mcv	0.7582	0.7602	10:103338008	1	NA
3	eo_p, eo_p_gran, mch, mcv	0.7582	0.7602	10:103338008	1	NA
3	eo_p, eo_p_gran, mch, mcv	0.7584	0.7602	10:103338008	1	NA
3	eo_p, eo_p_gran, mch, mcv	0.7584	0.7602	10:103338008	1	NA
3	eo_p, eo_p_gran, mch, mcv	0.7591	0.7602	10:103338008	1	NA
3	mch, mcv	0.9517	0.9547	10:103366837	0.9909	NA
4	mch, mcv	0.9881	1	10:103885557	0.5349	NA
6	hlr, hlr_p, ret, ret_p	0.9567	0.9781	10:104236552	0.4208	NA
1	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc	0.7843	0.8158	10:104220301	0.9359	NA
2	mch, mcv	0.988	1	10:103885557	0.5349	NA
5	hlr, hlr_p, ibd, ret, ret_p	0.7241	0.7407	10:104245588	1	NA
6	pct, plt, rbc	0.8855	0.8989	10:104220301	0.9995	NA
2	mch, mcv	0.988	1	10:103885557	0.5349	NA
2	mch, mcv	0.988	1	10:103885557	0.5349	NA
2	mch, mcv	0.9879	1	10:103885557	0.5349	NA
2	mch, mcv	0.9879	1	10:103885557	0.5349	NA
2	mch, mcv	0.9878	1	10:103885557	0.5349	NA
2	mch, mcv	0.9878	1	10:103885557	0.5349	NA
1	bipolar, hlr, hlr_p, irf, ret, ret_p, SCZ, Worry, Asthma	0.9391	0.9577	10:104508202	1	NA
3	cad, mono, UKBB_sbp	0.9847	0.9863	10:104504564	1	NA
1	bipolar, hlr, hlr_p, irf, ret, ret_p, SCZ, Worry, Asthma	0.9335	0.9577	10:104508202	1	NA
3	mch, mcv	0.9537	0.9999	10:104487443	0.3023	NA
1	hlr, hlr_p, ret, ret_p, Worry, Asthma	0.7377	0.8273	10:104693917	0.5099	NA
2	mch, mcv	0.8751	1	10:104671212	0.2555	NA
3	cad, UKBB_sbp	0.9856	1	10:104638480	0.5942	NA
9	gran_p_myeloid_wbc, mono_p, T2D	0.7719	0.8501	10:104560283	0.5447	NA
2	cad, BMI	0.9616	0.9995	10:104638480	0.6785	NA
6	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc, WHRadjBMI	0.7394	0.7569	10:104487443	0.9996	NA
7	mch, mcv	0.7489	1	10:104837816	0.1161	NA
9	gran_p_myeloid_wbc, mono_p	0.9661	0.97	10:104560283	0.5444	NA
4	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc, WHRadjBMI	0.7414	0.757	10:104487443	0.9996	NA
5	mch, mcv	0.7309	1	10:104837816	0.0921	NA
11	gran_p_myeloid_wbc, mono_p, T2D	0.7693	0.8501	10:104560283	0.5447	NA
4	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc, WHRadjBMI	0.7414	0.757	10:104487443	0.9996	NA
5	mch, mcv	0.7309	1	10:104837816	0.0921	NA
11	gran_p_myeloid_wbc, mono_p, T2D	0.7693	0.8501	10:104560283	0.5447	NA
2	cad, UKBB_sbp, BMI	0.7005	0.9997	10:104864678	0.5269	NA
4	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc, WHRadjBMI	0.7419	0.757	10:104487443	0.9996	NA
5	mch, mcv	0.7322	1	10:104837816	0.0867	NA
11	gran_p_myeloid_wbc, mono_p, T2D	0.7693	0.8501	10:104560283	0.5447	NA
4	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc, WHRadjBMI	0.7427	0.757	10:104487443	0.9996	NA
5	mch, mcv	0.7322	1	10:104837816	0.0867	NA
11	gran_p_myeloid_wbc, mono_p, T2D	0.7694	0.8501	10:104560283	0.5447	NA
4	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc, WHRadjBMI	0.7428	0.757	10:104487443	0.9996	NA
5	mch, mcv	0.7302	1	10:104837816	0.0846	NA
11	gran_p_myeloid_wbc, mono_p, T2D	0.7694	0.8501	10:104560283	0.5447	NA
4	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc, WHRadjBMI	0.7429	0.757	10:104487443	0.9996	NA
5	mch, mcv	0.7311	1	10:104837816	0.08	NA
11	gran_p_myeloid_wbc, mono_p, T2D	0.7694	0.8501	10:104560283	0.5447	NA
4	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc, WHRadjBMI	0.7429	0.757	10:104487443	0.9996	NA
5	mch, mcv	0.7311	1	10:104837816	0.08	NA
11	gran_p_myeloid_wbc, mono_p, T2D	0.7694	0.8501	10:104560283	0.5447	NA
4	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc, WHRadjBMI	0.7429	0.757	10:104487443	0.9996	NA
5	mch, mcv	0.7311	1	10:104837816	0.08	NA
11	gran_p_myeloid_wbc, mono_p, T2D	0.7694	0.8501	10:104560283	0.5447	NA
4	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc, WHRadjBMI	0.7429	0.757	10:104487443	0.9996	NA
5	mch, mcv	0.7311	1	10:104837816	0.08	NA
11	gran_p_myeloid_wbc, mono_p, T2D	0.7694	0.8501	10:104560283	0.5447	NA
2	UKBB_sbp, BMI	0.971	0.9999	10:104901491	0.3739	NA
4	baso_neut_sum, gran, myeloid_wbc, neut, neut_eo_sum, wbc, WHRadjBMI	0.7583	0.7679	10:104487443	1	NA
6	mch, mcv	0.7311	1	10:104837816	0.08	NA
11	gran_p_myeloid_wbc, mono_p, T2D	0.7693	0.8501	10:104560283	0.5447	NA
2	UKBB_sbp, BMI	0.9668	0.9999	10:104906211	0.3608	NA
4	mch, mcv	0.8914	1	10:104939232	0.6525	NA
6	gran_p_myeloid_wbc, mono_p, T2D	0.7809	0.8501	10:104560283	0.5447	NA
2	UKBB_sbp, BMI	0.9668	0.9999	10:104906211	0.3608	NA
4	mch, mcv	0.8914	1	10:104939232	0.6525	NA
7	gran_p_myeloid_wbc, mono_p, T2D	0.7813	0.8501	10:104560283	0.5447	NA
2	UKBB_sbp, BMI	0.9668	0.9999	10:104906211	0.3608	NA
4	mch, mcv	0.8914	1	10:104939232	0.6525	NA
7	gran_p_myeloid_wbc, mono_p, T2D	0.7826	0.8501	10:104560283	0.5447	NA
2	UKBB_sbp, BMI	0.9668	0.9999	10:104906211	0.3608	NA
4	mch, mcv	0.8914	1	10:104939232	0.6525	NA
7	gran_p_myeloid_wbc, mono_p, T2D	0.8007	0.8501	10:104560283	0.5447	NA
2	UKBB_sbp, BMI	0.9673	0.9999	10:104906211	0.3608	NA
4	mch, mcv	0.8915	1	10:104939232	0.6525	NA
2	mch, mcv	0.8915	1	10:104939232	0.6525	NA
2	mch, mcv	0.8915	1	10:104939232	0.6525	NA
2	mch, mcv	0.8915	1	10:104939232	0.6525	NA
1	hlr, hlr_p, irf, ret, ret_p, SCZ, Worry, Asthma	0.7712	0.9021	10:104866958	0.9999	NA
2	mch, mcv	0.8971	1	10:104939232	0.6526	NA
3	cad, UKBB_sbp	0.8249	1	10:104857523	0.3759	NA
1	hlr, hlr_p, irf, ret, ret_p, SCZ, Worry, Asthma	0.7712	0.9021	10:104866958	0.9999	NA
2	mch, mcv	0.8971	1	10:104939232	0.6526	NA
3	cad, UKBB_sbp	0.8249	1	10:104857523	0.3759	NA
1	hlr, hlr_p, irf, ret, ret_p, SCZ, Worry, Asthma	0.7798	0.9021	10:104866958	0.9999	NA
2	mch, mcv	0.9001	1	10:104939232	0.6537	NA
3	cad, UKBB_sbp	0.8556	1	10:104857523	0.3762	NA
1	hlr, hlr_p, irf, ret, ret_p, SCZ, Worry, Asthma	0.7855	0.9021	10:104866958	0.9999	NA
2	mch, mcv	0.903	1	10:104939232	0.6538	NA
3	cad, UKBB_sbp	0.8569	1	10:104857523	0.3762	NA
1	hlr, hlr_p, irf, ret, ret_p, SCZ, Worry, Asthma	0.826	0.9021	10:104866958	1	NA
2	mch, mcv	0.9212	1	10:104939232	0.66	NA
3	cad, UKBB_sbp	0.9415	1	10:104857523	0.3768	NA
4	mch, mcv	0.9487	0.9665	10:105639421	0.9181	NA
8	cad, UKBB_sbp	0.8922	0.9968	10:105669622	0.5593	NA
4	mch, mcv	0.9488	0.9666	10:105639421	0.9181	NA
8	cad, UKBB_sbp	0.8922	0.9968	10:105669622	0.5593	NA
1	SCZ, UKBB_sbp	0.9658	0.9991	10:105640978	0.3378	NA
4	mch, mcv	0.9488	0.9666	10:105639421	0.9181	NA
3	baso, baso_p, baso_p_gran, ibd	0.7155	0.7872	10:114186624	0.3587	NA
1	BrCaC, SCZ	0.8274	0.9237	10:114732882	1	NA
2	cad, UKBB_chol, T2D, BMI	0.9708	0.9829	10:114758349	1	NA
3	bipolar, gran_p_myeloid_wbc, mono, mono_p	0.9991	0.9995	10:114711983	1	NA
1	BrCaC, SCZ	0.8274	0.9237	10:114732882	1	NA
2	cad, UKBB_chol, T2D, BMI	0.9708	0.9829	10:114758349	1	NA
3	bipolar, gran_p_myeloid_wbc, mono, mono_p	0.9991	0.9995	10:114711983	1	NA
1	BrCaC, SCZ	0.8274	0.9237	10:114732882	1	NA
2	cad, UKBB_chol, T2D, BMI	0.9708	0.9829	10:114758349	1	NA
3	bipolar, gran_p_myeloid_wbc, mono, mono_p	0.9991	0.9995	10:114711983	1	NA
1	bipolar, SCZ	1	1	10:115265207	1	NA
1	bipolar, SCZ	1	1	10:115265207	1	NA
1	bipolar, SCZ	1	1	10:115265207	1	NA
1	bipolar, SCZ	1	1	10:115265207	1	NA
2	BrCaC, UKBB_brca	0.9823	1	10:123348902	0.6574	NA
1	bipolar, SCZ	0.9998	1	10:125106194	1	NA
1	bipolar, SCZ	0.9998	1	10:130803158	1	NA
4	eo_p, eo_p_gran, neut_p_gran	0.8212	0.8255	10:133778652	0.9575	NA
4	eo_p, eo_p_gran, neut_p_gran	0.8212	0.8255	10:133778652	0.9575	NA
1	mono, SCZ	0.9053	0.9529	10:21838380	1	NA
1	bipolar, SCZ	1	1	10:23630195	1	NA
1	baso_neut_sum, gran, hlr, hlr_p, irf, lymph, mono, mono_p, myeloid_wbc, neut, neut_eo_sum, pct, pdw, plt, ret, ret_p, wbc	0.7742	0.8132	10:25218243	0.9519	NA
